Model,Accuracy,Precision,Recall,F1 Score
gass&env_random_forest_model,0.999,0.999,0.999,0.999
gass&env_xgboost_model,0.999,0.999,0.999,0.999
gass&env_gradient_boost_model,0.999,0.999,0.999,0.999
gass&env_knn_model,0.987,0.987,0.987,0.987
gass&env_ann_3layer_model,0.970,0.971,0.970,0.970
gass&env_cnn_model,0.949,0.951,0.949,0.948
gass&env_ann_2layer_model,0.945,0.948,0.945,0.945
gass&env_svm_rbf_model,0.819,0.825,0.819,0.821
specter_random_forest_model,0.983,0.983,0.983,0.983
specter_xgboost_model,0.983,0.983,0.983,0.983
specter_gradient_boost_model,0.978,0.978,0.978,0.978
specter_cnn_model,0.975,0.975,0.975,0.975
specter_knn_model,0.974,0.974,0.974,0.974
specter_ann_2layer_model,0.970,0.970,0.970,0.970
specter_ann_3layer_model,0.968,0.968,0.968,0.968
specter_svm_rbf_model,0.947,0.949,0.947,0.947
all_random_forest_model,0.999,0.999,0.999,0.999
all_xgboost_model,0.999,0.999,0.999,0.999
all_gradient_boost_model,0.999,0.999,0.999,0.999
all_knn_model,0.988,0.989,0.988,0.988
all_cnn_model,0.978,0.978,0.978,0.978
all_ann_3layer_model,0.977,0.978,0.977,0.977
all_ann_2layer_model,0.972,0.972,0.972,0.972
all_svm_rbf_model,0.824,0.829,0.824,0.825
